
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Stehr, Joseph                       82    5    6.1%      $6.84
  Straughn, William                   82    5    6.1%     $18.28
  Perez, Ernesto                      83    5    6.0%     $13.20
  Lewis, Jr., William                103    5    4.9%     $42.08
  Rangel, Ricardo                    120    5    4.2%     $14.08
  Boykins, Kevin                     147    5    3.4%     $17.48
  Godsey, Jr., Claudie                 5    4   80.0%      $2.95
  McFarlane, Brandon                   9    4   44.4%      $8.05
  Joseph, Jr., Saffie                 14    4   28.6%      $7.45
  Meyers, Madison                     17    4   23.5%      $5.85
  Greaves, Vernon                     20    4   20.0%      $5.35
  McMahon, Hugh                       26    4   15.4%      $6.35
  Binning, Matthew                    34    4   11.8%     $14.65
  Nazario, Pedro                      38    4   10.5%     $30.60
  Delong, Ben                         38    4   10.5%      $9.05
  Scott, Jr., Alfred                  47    4    8.5%     $42.10
  Harrison, Glenn                     47    4    8.5%     $33.80
  Hurley, Jack                        50    4    8.0%     $13.50
  Schottroffe, Edward                 52    4    7.7%     $11.25
  Atkins, William                     53    4    7.5%     $32.20
  Aylor, Jr., William                 62    4    6.5%     $10.25
  Conn, Linda                         70    4    5.7%     $54.95
  Barahona, Isaac                     72    4    5.6%     $18.60
  Davis, Billy                         7    3   42.9%      $4.60
  Iannotti IV, Thomas                  7    3   42.9%      $7.53
  Albright, George                     9    3   33.3%     $10.33
  Moschonas, Gerasimos                10    3   30.0%     $10.67
  Meyers, Shane                       14    3   21.4%     $15.80
  Leaf, Jr., Robert                   15    3   20.0%     $30.20
  Williams, Jr., Gary                 15    3   20.0%      $9.13
  Mathes, Julie                       15    3   20.0%      $9.60
  Boyce, Brian                        17    3   17.6%     $15.33
  Armstrong, Busanda                  20    3   15.0%     $18.13
  Bailon, Nesvil                      21    3   14.3%     $11.87
  Allen III, A.                       24    3   12.5%     $15.67
  Clement III, Roland                 27    3   11.1%     $23.27
  Garber, Owen                        29    3   10.3%     $15.20
  Maldonado, Jonathan                 31    3    9.7%     $15.00
  Bourne, Lori                        40    3    7.5%     $25.80
  Shanley, Tyler                      43    3    7.0%     $11.87
  Cornwell, Jr., James                49    3    6.1%     $24.67
  Rodriguez, Jesus                    61    3    4.9%     $16.53
  Shuler, John                        62    3    4.8%     $10.47
  Reggetts, Stephen                   63    3    4.8%      $7.27
  Locklear, James                     74    3    4.1%      $8.87
  Campbell, Marshall                  77    3    3.9%     $10.80
  Tobin, Edwin                        96    3    3.1%     $18.47
  Morici, Diane                        5    2   40.0%      $5.50
  Nixon, Justin                        9    2   22.2%      $4.00
