
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Tenpins                                 2
  Quality Road                            2
  Secret Circle                           2
  Uncaptured                              2
  Free Drop Billy                         2
  Pioneerof the Nile                      2
  Lea                                     2
  Mendelssohn                             2
  Strong Mandate                          2
  Connect                                 2
  Sharp Azteca                            2
  Unified                                 2
  Not This Time                           2
  Tale of Ekati                           2
  Behindatthebar                          2
  American Lion                           2
  Honor Code                              2
  Race Day                                2
  Keen Ice                                2
  Broken Vow                              2
  Jack Milton                             2
  Elusive Quality                         2
  Cairo Prince                            2
  Pick of the Litter                      2
  Vino Rosso                              2
  Mr. Besilu                              2
  Sky Kingdom                             2
  Stealcase                               2
  War Eagle                               2
  Upstart                                 2
  Big Brown                               2
  Classic Empire                          2
  Temple City                             2
  Into Mischief                           2
  Munnings                                2
  Goldenlion                              2
  Street Sense                            2
  Anchor Down                             2
  Flatter                                 2
  Oscar Performance                       2
  Moro Tap                                2
  Tapizar                                 1
  Game Winner                             1
  Union Rags                              1
  Stanford                                1
  Colonel John                            1
  Ride On Curlin                          1
  Barbados                                1
  Oxbow                                   1
  Country House                           1
  Doc N Bubba G                           1
  Nyquist                                 1
  Curlin                                  1
  Will Take Charge                        1
  Pavel                                   1
  Jump Start                              1
  Tiz the Law                             1
  Majesticperfection                      1
  Fusaichi Pegasus                        1
  Just a Coincidence                      1
  West Coast                              1
  Speightstown                            1
  Crossbow                                1
  Tourist                                 1
  California Chrome                       1
  Shakin It Up                            1
  Orb                                     1
  Sabercat                                1
  Algorithms                              1
  Shaman Ghost                            1
  Accelerate                              1
  Conan                                   1
  Kantharos                               1
  Include                                 1
  Mean Season                             1
  Collected                               1
  Imagining                               1
  My Golden Song                          1
  Paynter                                 1
  Summer Front                            1
  Bradester                               1
  Teuflesberg                             1
  No Never No More                        1
  Super Saver                             1
  Silver Haze                             1
  Northern Afleet                         1
  Take Charge Indy                        1
  Adios Charlie                           1
  Dominus                                 1
  Itiswhatitistoday                       1
  El Kingdom                              1
  Good Samaritan                          1
  Etbauer                                 1
  Distorted Humor                         1
  Brave Dave                              1
  Peace and Justice                       1
  Caracaro                                1
  Verrazano                               1
  Run Production                          1
  More Than Ready                         1
  Laoban                                  1
  Due Date                                1
  Passion for Gold                        1
  Power Jam                               1
  Danza                                   1
  Catalina Cruiser                        1
  Ghostzapper                             1
  Awesome Slew                            1
  Can the Man                             1
  The Daddy                               1
  Uptown Rythem                           1
  Texas Chrome                            1
  Awesome Sword                           1
  Frosted                                 1
  Holy Boss                               1
  Audible                                 1
  Thousand Words                          1
  Ide Like a Double                       1
  Maximum Security                        1
  Madefromlucky                           1
  Cross Traffic                           1
  Tidal Wave                              1
  Divide and Conquer                      1
  World of Trouble                        1
  Spun to Run                             1
  Too Much Bling                          1
  Nownownow                               1
  Commissioner                            1
  Social Inclusion                        1
  Songandaprayer                          1
  Cinco Charlie                           1
  Creative Cause                          1
  Gazebo                                  1
  Govenor Charlie                         1
  Instagrand                              1
  City of Light                           1
  Daredevil                               1
  Vekoma                                  1
  Koh I Noor                              1
  Get Stormy                              1

  -- IRON HORSES (3+ wins) --
  Horse                                   W
  ------------------------------------  ---
  Girl Likes Bling                        4
  Fire Sword                              4
  Dynamic Sun                             3
  Adieu Aces                              3
  Bold Exaggeration                       3
  Sarah's Vision                          3
  Won Day                                 3
  Sarah's Court                           3
  Call My Banker                          3
  Wonderrand                              3
  Run Carlos                              3
  Cajun Mitole                            3
  Perfect Edge                            3
  Speightful One                          3
  Hardly Able                             3
  Miss Priority                           3
  Apriority Catch                         3
  Hardly Mischievous                      3


========================================================================
  TRACK: EVANGELINE DOWNS
  Files : 166 processed  |  0 skipped
  Races : 1444
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  --------------------------------  ----  ---  ------  ---------
  Landry, Allen                      424   80   18.9%      $8.93
  Larrosa, Juan                      396   72   18.2%     $11.02
  Breaux, Samuel                     381   67   17.6%      $9.96
  Bourgeois, Keith                   204   47   23.0%      $6.79
  Thomas, Lee                        277   47   17.0%      $9.50
  Calhoun, W.                        162   42   25.9%      $7.06
  Ramirez, Eduardo                   250   40   16.0%     $10.10
  David, Jr., Sam                    179   39   21.8%      $7.24
  Cano, Juan                         150   38   25.3%      $9.04
  Wilson, Shane                      266   36   13.5%      $8.61
  Ward, Ronnie                       296   36   12.2%     $13.34
  Brinkman, Brett                    310   35   11.3%     $13.69
  Mojica, Edith                      282   33   11.7%     $13.10
  Ducoing, Sturges                   166   32   19.3%      $6.77
  Gelner, Jayde                      138   25   18.1%      $6.11
  Gonzalez, Isai                     233   25   10.7%     $14.39
  Broberg, Karl                      106   22   20.8%      $7.68
  Jeansonne, Justin                  110   22   20.0%      $8.34
  Chatters, Benard                   116   22   19.0%      $9.35
  Terre, David                        72   21   29.2%      $7.24
  Wong, Jonathan                     114   21   18.4%      $4.49
  Gelner, Scott                      149   19   12.8%     $15.45
  Degeyter, Jr., Randy                73   18   24.7%      $7.14
  Govea, Cesar                       140   18   12.9%     $12.69
  Alberto, Antonio                   147   18   12.2%     $15.30
  Klanfer, Alan                       71   16   22.5%      $8.91
  Sanchez, Juan                      105   16   15.2%      $7.89
  Averett, Ronnie                    196   16    8.2%     $11.57
  Castille, Carrol                   111   14   12.6%     $13.00
  Segura, Kearney                    165   14    8.5%     $26.41
  Zenon, Sr., Shelton                175   14    8.0%     $44.39
  Magnon, Rylee                       82   13   15.9%     $14.29
  Briley, Lonnie                      77   12   15.6%      $6.82
  Courville, Ricky                    88   12   13.6%      $7.20
  Schwandt, Emile                    108   12   11.1%     $14.98
  Mouton, Chadwick                    71   11   15.5%      $8.62
  Devereux, Jr., Patrick              34   10   29.4%      $4.96
  Pomier, Chasey                     115   10    8.7%     $13.80
  Dison, Phillip                     116   10    8.6%     $20.80
  Noel, Dane                         118   10    8.5%     $11.34
  Diodoro, Robertino                  46    9   19.6%      $7.51
  Latour, Nicholas                   100    9    9.0%     $14.09
  Escobar, Alison                    110    9    8.2%     $16.44
  Zeno, Benjamin                     137    9    6.6%     $27.33
  Leonard III, George                 23    8   34.8%     $19.68
  Delhomme, Jeff                      38    8   21.1%      $6.80
  Duhon, Paul                         63    8   12.7%      $8.20
  Cuccia, L.                          73    8   11.0%      $9.25
  Woodley, Carl                       87    8    9.2%      $7.97
  Delany, Sarah                       96    8    8.3%      $9.80
  Duhon, Joe                          44    7   15.9%      $8.17
  Claire, Alexis                      47    7   14.9%     $10.60
  West, Patricia                      70    7   10.0%      $5.19
  Fuselier, Jonah                     79    7    8.9%     $10.80
  Charles, Keith                      16    6   37.5%      $6.27
  Ramirez, Jose                       39    6   15.4%      $7.77
  Faul, Jason                         50    6   12.0%     $16.30
  Felks, Joseph                       18    5   27.8%      $5.84
  Munoz, Yovani                       21    5   23.8%     $16.68
  Gibson, Jonas                       24    5   20.8%      $8.48
  Litfin, Veronica                    36    5   13.9%      $8.84
  Ney, John                           49    5   10.2%     $11.88
  Richards, Corale                    55    5    9.1%     $11.56
  Richard, Russell                    70    5    7.1%     $22.60
  Cormier, Cardel                     72    5    6.9%      $6.88
  Patt, Jr., Roland                   77    5    6.5%     $43.40
  Henry, Eric                         21    4   19.0%     $38.30
  Johnson, Jr., Henry                 23    4   17.4%      $7.60
  Husak, Gary                         23    4   17.4%      $8.90
  Robbins, Jr., Hance                 39    4   10.3%     $13.20
  Eschete, Nason                      46    4    8.7%      $8.35
  Knudsen, Kent                       66    4    6.1%     $22.25
  Bernard, John                       75    4    5.3%     $11.45
  West, Jr., Henry                   190    4    2.1%      $8.50
  Mocklin, Jr., Richard               10    3   30.0%      $7.07
  Goins, Garland                      13    3   23.1%     $12.13
  Lorefice, Matthew                   14    3   21.4%     $30.40
  Ramaekers, Eric                     20    3   15.0%     $11.13
  Dandridge Jr., Courtney             24    3   12.5%     $36.53
  Silva, Walter                       26    3   11.5%     $11.13
  Delhomme, Jerry                     28    3   10.7%     $11.47
  Reeves, Jr., Jeffery                30    3   10.0%     $11.67
  Ladner, Jr., Herman                 33    3    9.1%     $43.87
  Marechal, Merlin                    36    3    8.3%      $5.07
  Zeringue, Jr., Whitney              36    3    8.3%     $15.47
  Thompson, Kevin                     55    3    5.5%      $8.87
  Desormeaux, J.                       5    2   40.0%      $3.90
  Sturrock, Tommy                      5    2   40.0%      $8.20
  Orseno, Joseph                       7    2   28.6%      $6.50
  Savoie, Sherman                     10    2   20.0%      $6.10
  Balderas, Alfonso                   11    2   18.2%     $30.10
  Pitzer, Floyd                       11    2   18.2%     $40.70
  Garcia, J.                          15    2   13.3%      $8.90
  Wilson, Melton                      16    2   12.5%      $5.50
  Rogers, Andy                        17    2   11.8%     $17.80
  Melancon, Donald                    19    2   10.5%      $8.00
  Foster, Joseph                      19    2   10.5%      $6.80
  Nelson, Jr., Eric                   24    2    8.3%     $15.00
  Prejean, Raymond                    25    2    8.0%      $7.50
  Tillis, Jerry                       26    2    7.7%     $71.80
  Charles, Jonathan                   30    2    6.7%     $41.40
  Perron, Gerard                      35    2    5.7%     $11.70
  Morrell, Cynthia                    38    2    5.3%     $61.10
  Chevis, Vincent                     40    2    5.0%     $13.70
  Giangrosso, Russell                 42    2    4.8%     $16.10
  Broussard, Jervon                   43    2    4.7%     $17.20
  Zenon, Charles                      63    2    3.2%      $9.70
  Toups, Brent                        71    2    2.8%     $16.50
  Bonin, Jr., Albin                    5    1   20.0%     $90.00
  Maker, Michael                       6    1   16.7%      $4.60
  Gomez, Jorge                         6    1   16.7%      $8.80
  Romero, Markel                       7    1   14.3%      $7.60
  Ali, Andrea                          8    1   12.5%     $33.80
  Williams, Kevin                      8    1   12.5%      $9.40
  Blanchet, Christopher                9    1   11.1%      $7.20
  Delahoussaye, Brent                  9    1   11.1%     $49.60
  Landry, Jacoby                      10    1   10.0%      $5.00
  Simon, Lester                       10    1   10.0%    $133.60
  Duke, Steven                        11    1    9.1%     $24.40
  Grimaldo, Jose                      11    1    9.1%     $21.60
  Maturin, Chad                       12    1    8.3%     $10.00
  Robbins, Ray                        12    1    8.3%     $38.60
  Quinones, Raul                      13    1    7.7%     $10.20
  Demouchet, Ricky                    13    1    7.7%      $7.40
  Rosier, Charlie                     13    1    7.7%     $23.60
  Gomez, Rafael                       14    1    7.1%     $10.20
  Broussard, Jarmondrick              14    1    7.1%     $18.40
  Arndt, Theodore                     14    1    7.1%     $13.00
  Suarez, Aubrie                      14    1    7.1%      $5.40
  Ramirez, Julio                      15    1    6.7%     $65.60
  Lara, Jorge                         16    1    6.2%     $33.40
  Garcia, Miguel                      17    1    5.9%      $7.00
  Shamsie, Sr., Randy                 17    1    5.9%     $16.80
  Delahoussaye, Glenn                 17    1    5.9%      $5.00
  Turner, Patti                       17    1    5.9%      $9.40
  Roberts, Roy                        17    1    5.9%     $11.80
  Ellis, Randy                        18    1    5.6%     $56.20
  Lee, David                          18    1    5.6%      $5.00
  Ramirez, Rosa                       18    1    5.6%      $6.20
  Broussard, Jr., Vincent             19    1    5.3%     $10.20
  Martinez, Sarah                     21    1    4.8%      $4.00
  Senegal, Jr., Dalton                24    1    4.2%     $22.80
  Romero, Alvin                       25    1    4.0%    $197.00
  Sam, Thomas                         28    1    3.6%      $3.60
  Romero, Terry                       31    1    3.2%    $182.60
  Flugence, Henry                     33    1    3.0%     $27.20
  Jackson, Dwayne                     35    1    2.9%     $20.80
  Peterson, Jessie                    36    1    2.8%     $16.80
  Boxie, Joseph                       37    1    2.7%      $6.00
  Journet Jr., Albert                 50    1    2.0%    $139.60
  Dussette, Alvin                     61    1    1.6%      $3.00
  Alberto,                Antonio      6    0    0.0%        ---
  Ward,                Ronnie          9    0    0.0%        ---
  Hoda, Danny                          5    0    0.0%        ---
  Breaux,                Samuel        9    0    0.0%        ---
  Antwine, Michael                    12    0    0.0%        ---
  Leblanc, John                       13    0    0.0%        ---
  Fogarty, Desmond                     5    0    0.0%        ---
  Nichols, Bessie                     11    0    0.0%        ---
  Granger, Randy                       6    0    0.0%        ---
  Singh, Darla                         5    0    0.0%        ---
  Laday, Ashton                        5    0    0.0%        ---
  Benoit, James                       14    0    0.0%        ---
  Constantine, Carol                  15    0    0.0%        ---
  Morales, Eduardo                     6    0    0.0%        ---
  Meche, Shane                         9    0    0.0%        ---
  Rangel, Raul                        11    0    0.0%        ---
  Landry,                Allen         7    0    0.0%        ---
  Nixon, Thomas                       18    0    0.0%        ---
  Celestine, Charles                   9    0    0.0%        ---
  Ramirez,                Eduardo      5    0    0.0%        ---
  Leonard, Kirby                       6    0    0.0%        ---
  Robins, Jr., Aaron                   8    0    0.0%        ---
  Cormier, Jr., Donald                 6    0    0.0%        ---
  Gomez, David                         8    0    0.0%        ---
  Romero, Sr., Lynn                   10    0    0.0%        ---
  West, Jr.,                Henry      7    0    0.0%        ---
  Pedigo, Randy                        8    0    0.0%        ---
  Ladner, Chad                        30    0    0.0%        ---
  Castille, Rickey                    29    0    0.0%        ---
  Bruno, Roland                       13    0    0.0%        ---
  Dunn, Henry                          8    0    0.0%        ---
  Arey, Anthony                        7    0    0.0%        ---
  Delahoussaye, Tommy                 23    0    0.0%        ---
  Del Cid, Erick                       7    0    0.0%        ---
  Mason, Gary                          6    0    0.0%        ---
  Cormier, Winston                     7    0    0.0%        ---
  Daigle, Walter                      13    0    0.0%        ---
  Matthieu, Ronald                     8    0    0.0%        ---
  Govea,                Cesar          6    0    0.0%        ---
  Murphy, Scott                        5    0    0.0%        ---
  Camejo, Jose                         5    0    0.0%        ---
  Sauceda, Jesse                       8    0    0.0%        ---
  Hewitt, Michael                     16    0    0.0%        ---
  Wilson,                Shane         8    0    0.0%        ---
  Asmussen, Steven                     5    0    0.0%        ---
  Ramsey, Daryl                        5    0    0.0%        ---
  Bourgeois,                Keith      6    0    0.0%        ---
  Alfortish, Sean                      5    0    0.0%        ---
  Ludwig, James                        6    0    0.0%        ---
  Schmidt, Denise                      9    0    0.0%        ---
  Washington, Richard                  7    0    0.0%        ---
  Toups,                Brent          5    0    0.0%        ---
  Zenon, Sr.,                Shelton    14    0    0.0%        ---
  Carter, Angelle                     10    0    0.0%        ---
  Segura,                Kearney       6    0    0.0%        ---
  Borel, Renay                         7    0    0.0%        ---
  Scherer, Gary                        6    0    0.0%        ---
  Rubin, Donald                       13    0    0.0%        ---
  Pish, Danny                          5    0    0.0%        ---
  Shamsie, Mike                        8    0    0.0%        ---
  Averett,                Ronnie       6    0    0.0%        ---
  Romero, Sr., John                    7    0    0.0%        ---
  Zeno,                Benjamin        5    0    0.0%        ---
  Rivera, Nestor                      11    0    0.0%        ---
  Larrosa,                Juan         6    0    0.0%        ---
  Cangemi, Daniel                     16    0    0.0%        ---
  West,                Jr., Henry      5    0    0.0%        ---

  -- JOCKEY WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  --------------------------------  ----  ---  ------  ---------
  Thornton, Timothy                  666  162   24.3%      $7.52
  Barrera, Elio                      851  128   15.0%     $10.88
  Dominguez, Joel                    665  105   15.8%     $10.49
  Melancon, Jansen                   506   94   18.6%     $11.29
  Rodriguez, Jose                    684   92   13.5%      $9.97
  McMahon, C.J.                      560   90   16.1%     $10.52
  Vargas, Juan                       616   87   14.1%      $9.95
  Pompell, Thomas                    623   68   10.9%     $13.01
  Fusilier, Casey                    429   52   12.1%     $11.98
  Hernandez, Colby                   298   50   16.8%      $7.86
  Perez, Carlos                      353   43   12.2%     $11.69
  Guerrero, Jose                     241   40   16.6%      $9.70
  Magnon, Devin                      307   36   11.7%     $13.29
  Nieves, Emanuel                    305   35   11.5%      $9.13
  Santiago, Edward                   343   28    8.2%     $16.89
  Suarez, Angel                      167   23   13.8%      $9.22
  Rosier, Chris                      313   23    7.3%     $21.32
  Stokes, Joe                        326   23    7.1%     $20.66
  Hernandez, Harry                   103   22   21.4%      $5.40
  Lozada, Carlos                     188   22   11.7%     $13.05
  Quiles, Antonio                    148   21   14.2%     $19.65
  Ramirez, Jr., Julio                300   21    7.0%     $23.91
  Castillo, Isaac                     80   16   20.0%      $9.62
  Green, Aubrie                      130   16   12.3%     $11.47
  Munoz, Sergio                      233   14    6.0%     $13.63
  Florian, Jose                      226   13    5.8%     $24.57
  Arana, Kelvin                      194   11    5.7%     $24.22
  Hernandez, Javier                   84    7    8.3%     $22.77
  Rengifo, Johan                     144    7    4.9%     $31.60
  Pedroza, Jr., Marcelino             29    6   20.7%      $4.80
  Ruiz, Efigenio                      76    6    7.9%     $12.67
  Del-Cid, Marlon                     99    6    6.1%     $43.73
  Riquelme, Jose                      34    5   14.7%      $8.76
  Mudd, Jamison                       75    5    6.7%     $14.80
  Del-Cid, Vicente                    28    4   14.3%      $7.20
  CHI                                  7    3   42.9%     $10.80
  Murrill, Mitchell                   14    3   21.4%      $4.93
  Singh, Rohan                        16    3   18.8%     $28.13
  Wade, Lindey                        21    3   14.3%     $18.13
  Carmona, Serafin                    33    3    9.1%     $17.80
  Murray, Erica                       35    3    8.6%     $14.73
  Carreno, Jorge                      40    3    7.5%     $11.40
  Marquez, Carlos                     43    3    7.0%     $12.93
  Albert, Treylon                    147    3    2.0%     $38.27
  Wethey Jr., Floyd                    5    2   40.0%      $4.40
  Nava-Marin, Jose                    12    2   16.7%      $2.70
  IRE                                 21    2    9.5%      $3.70
  Ebow III, Warren                    28    2    7.1%     $11.50
  Inirio, Junior                      38    2    5.3%     $48.90
  Meche, Cole                         43    2    4.7%    $103.60
  Deonauth, Kenneth                   52    2    3.8%     $41.40
  Ledet, Theodrick                    55    2    3.6%     $34.60
  Edison, Jocelyn                     57    2    3.5%     $15.00
  Roman, Kevin                        89    2    2.2%      $6.70
  Castillo, Alexander                 34    1    2.9%      $7.80
  Stokes, Louis                       63    1    1.6%     $12.00
  Pena, Jonuelle                      10    0    0.0%        ---
  Journet, Jarred                     19    0    0.0%        ---
  Alvarez, Misael                     16    0    0.0%        ---
  Frey, Tammy                          7    0    0.0%        ---
  Borel, Calvin                        7    0    0.0%        ---
  Batista, Alexis                      6    0    0.0%        ---
  Chavez, Oriel                       27    0    0.0%        ---

  -- SIRE WIN COUNTS --
  Sire                                    W
  ------------------------------------  ---
  Star Guitar                            45
  El Deal                                30
  Half Ours                              29
  Astrology                              26
  Custom for Carlos                      25
  Goldencents                            21
  Sassicaia                              18
  Cloud Computing                        17
  Country Day                            17
  Iron Fist                              17
  Midshipman                             17
  Apriority                              17
  Catalina Red                           17
  Aurelius Maximus                       17
  Hard Aces                              16
  Munnings                               14
  Clearly Now                            13
  The Factor                             13
  Tapwrit                                12
  Jimmy Creed                            12
  Ocean Knight                           12
  Gemologist                             12
  Daaher                                 12
  My Pal Charlie                         12
  Into Mischief                          11
  Zong                                   11
  Mor Spirit                             11
  Court Vision                           11
  Wicked Strong                          10
  Hard Spun                              10
  Whence                                 10
  Practical Joke                         10
  Calibrachoa                            10
  Time Bandit                            10
  Get Stormy                              9
  Connect                                 9
  One Liner                               9
  Klimt                                   9
  Constitution                            9
  Mo Tom                                  9
  Flameaway                               9
  Instagrand                              9
  Bind                                    8
  Palace                                  8
  Bernardini                              8
  Brave Dave                              8
  Lord Nelson                             8
  Fast Anna                               8
  Peppered Cat                            8
  Palace Malice                           8
  Congrats                                8
  City of Light                           8
  Awesome Bet                             8
  Maximus Mischief                        8
  Exaggerator                             7
  Quality Road                            7
  Always Dreaming                         7
  Free Drop Billy                         7
  Coal Front                              7
  Broken Vow                              7
  Unified                                 7
  Tapiture                                7
  Closing Argument                        7
  Takeover Target                         7
  Gormley                                 7
  Secret Circle                           7
  Malibu Moon                             7
  Mr. Money                               7
  Sky Mesa                                6
  Lewis Michael                           6
  Sabercat                                6
  Street Boss                             6
  Street Sense                            6
  Gun Runner                              6
  Cairo Prince                            6
  Outwork                                 6
  Honor Code                              6
  First Samurai                           6
  Vekoma                                  6
  Lone Sailor                             6
  Breaking Lucky                          6
  Mendelssohn                             6
  Mo Town                                 6
  Guilt Trip                              5
  Requite                                 5
  Not This Time                           5
  Race Day                                5
  Union Rags                              5
  Frosted                                 5
  Speightster                             5
  Laoban                                  5
  Khozan                                  5
  The Player                              5
  Strong Mandate                          5
  Bodemeister                             5
  Violence                                5
  Ransom the Moon                         5
  Collected                               5
  Spun to Run                             5
  Mitole                                  5
  Northern Afleet                         4
  Twirling Candy                          4
  Tourist                                 4
  Doc N Bubba G                           4
  Curlin                                  4
  Mastery                                 4
  Jay Gatsby                              4
  Will Take Charge                        4
  Include                                 4
  Cupid                                   4
  Flatter                                 4
  Saint Afleet                            4
  Omaha Beach                             4
  Good Samaritan                          4
  Lemon Drop Kid                          4
  Lookin At Lucky                         4
  The Big Beast                           4
  West Coast                              4
  American Pharoah                        4
  Uncle Mo                                4
  Runhappy                                3
  Shackleford                             3
  Declaration of War                      3
  Flat Out                                3
  Texas Red                               3
  Real Solution                           3
  Keen Ice                                3
  Fort Larned                             3
  California Chrome                       3
  Bucchero                                3
  Cross Traffic                           3
  Flashpoint                              3
  Power Jam                               3
  Good Magic                              3
  Conveyance                              3
  Midnight Lute                           3
  Mean Season                             3
  Leofric                                 3
  Overanalyze                             3
  World of Trouble                        3
  Midnight Storm                          3
  Tale of the Cat                         3
  Anchor Down                             3
  Dialed In                               3
  Upstart                                 3
  Hamazing Destiny                        3
  Gift Box                                3
  Thousand Words                          3
  Catalina Cruiser                        3
  Brethren                                3
  Gunnevera                               3
  Vino Rosso                              3
  Imperial Hint                           3
  Tiz the Law                             3
  Classic Empire                          3
  Bee Jersey                              3
  Volatile                                3
  American Freedom                        2
  Tamarkuz                                2
  Jump Start                              2
  Can the Man                             2
  Gold Tribute                            2
  Super Saver                             2
  McCraken                                2
  Hooks Crossing                          2
  Accelerate                              2
  Speighter Man                           2
  Mucho Macho Man                         2
  English Channel                         2
  Koh I Noor                              2
  Mineshaft                               2
  Interactif                              2
  Tapit                                   2
  Double Irish                            2
  Divisidero                              2
  Alternation                             2
  Neolithic                               2
  Mshawish                                2
  Kantharos                               2
  Girvin                                  2
  Run Production                          2
  Cutting Humor                           2
  Nyquist                                 2
  Justify                                 2
  Teuflesberg                             2
  The Daddy                               2
  Sharp Azteca                            2
  Tonalist                                2
  Flashback                               2
  Enticed                                 2
  Mr Speaker                              2
  Global Campaign                         2
  Seahenge                                2
  Far From Over                           2
  McKinzie                                2
  Independence Hall                       2
  Beta Capo                               2
  Lexitonian                              2
  Revolutionary                           1
  Micromanage                             1
  Mass Media                              1
  Etesaal                                 1
  Musket Man                              1
  Harbor the Gold                         1
  Due Date                                1
  Rumpus Cat                              1
  Algorithms                              1
  Uptown Rythem                           1
  Run Away and Hide                       1
  Fed Biz                                 1
  Point of Entry                          1
  Five Iron                               1
  Yankee Gentleman                        1
  Givemeaminit                            1
  Jack Milton                             1
  Mark Valeski                            1
  Stay Thirsty                            1
  Vegas Mischief                          1
  My Golden Song                          1
  Ride On Curlin                          1
  Protonico                               1
  War Front                               1
  Texas Chrome                            1
  Passion for Gold                        1
  Temple City                             1
  Costa Rising                            1
  Bourbon Courage                         1
  Crider                                  1
  War Eagle                               1
  Daddy Long Legs                         1
  Keep Up                                 1
  No Never No More                        1
  Awesome Slew                            1
  Wimbledon                               1
  Uncaptured                              1
  Take Charge Indy                        1
  Yellow Meadow                           1
  Tiznow                                  1
  Central Banker                          1
  Higher Power                            1
  Competitive Edge                        1
  Stanford                                1
  Etbauer                                 1
  Stealcase                               1
  Maximum Security                        1
  Pick of the Litter                      1
  Speightstown                            1
  Air Force Blue                          1
  Tapizar                                 1
  American Lion                           1
  Lea                                     1
  Game Winner                             1
  Redesdale                               1
  Moro Tap                                1
  Da Stoops                               1
  No Parole                               1
  Count Alexander                         1
  Yaupon                                  1
  Pimpernel                               1
  Carpe Diem                              1
  Social Inclusion                        1
  Army Mule                               1
  Goldenlion                              1
  Holy Boss                               1
  Cape Lucas                              1
  Americain                               1
  Successful Appeal                       1
  Birdstone                               1
  Orb                                     1
  Tacitus                                 1
  Caravaggio                              1
  Divining Rod                            1
  Cinco Charlie                           1
  Moon Thunder                            1
  Rock Your World                         1
  Prospective                             1
  Maxfield                                1
  Sky Mischief                            1
  Caracaro                                1
  Call Me George                          1
  Code of Honor                           1

  -- IRON HORSES (3+ wins) --
  Horse                                   W
  ------------------------------------  ---
  Highly Wicked                           6
  Astrologysprotege                       5
  Northernreflection                      4
  Nopenottonight                          4
  Like This                               4
  Cincy's Anna                            4
  Butler Cabin                            4
  Comanche Warrior                        4
  Roya                                    4
  Madelyn's Hit                           4
  Keys Included                           4
  Sweet Alexis                            4
  House Bourbon                           4
  Baron of the Nile                       4
  Sassi Strutter                          4
  Pip Squeek                              4
  Lovelyredstilettos                      4
  Mr McGregor                             4
  American City                           4
  Maximus Freedom                         4
  Begforforgiveness                       4
  Special Stormy                          3
  She Has It All                          3
  Highland Creek                          3
  Cairo Charm                             3
  El Oriente                              3
  Jaydyn Cat                              3
  Sweet Little Rose                       3
  Sweet Alyssa                            3
  Home Visit                              3
  Spoonful of Sugar                       3
  Katies Factor                           3
  Not On Herb                             3
  Geaux Sugar                             3
  Liken It                                3
  Luyv                                    3
  Sounds Like Power                       3
  Aller Vite                              3
  Birthday Party                          3
  Anslie's Gumdrop                        3
  Sono                                    3
  Bayou Bertie                            3
  Need Some Money                         3
  Fitzy                                   3
  Courtman                                3
  Rosie's Angus                           3
  Napoleonic Code                         3
  Secret Faith                            3
  Mor Mor Music                           3
  Alvarado Cat                            3
  Roll Gypsy Roll                         3
  One Line Ruler                          3
  Gold Plus                               3
  Fortuity                                3
  Notion                                  3
  Easy Bet                                3
  Simoneaux Storm                         3
  Allnight Moonlight                      3
  Nodah                                   3
  Achromedoutcat                          3
  You Good                                3
  Gabe's Possum                           3
  Autumns Strong Man                      3
  Avery's Gem                             3
  Shortlist                               3
  Perry County                            3
  Julia's Warrior                         3
  Grand Academic                          3
  Scallywag                               3
  Breaking Star                           3
  Toni's Inferno                          3
  Letmikefigureitout                      3
  She's a Bandit                          3
  He's Late Again                         3
  Pharoahs Baby Gyal                      3
  Drilling Report                         3
  Dolly's Guitar                          3
  Strong Promise                          3
  Lassie Bee                              3
  Our Favorite Son                        3
  Wicked as Haggart                       3


========================================================================
  TRACK: FAIR GROUNDS
  Files : 219 processed  |  0 skipped
  Races : 1995
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  --------------------------------  ----  ---  ------  ---------
  Sharp, Joe                         447   95   21.3%      $6.98
  Wilson, Shane                      681   82   12.0%     $11.60
  Calhoun, W.                        409   74   18.1%      $9.37
  Cox, Brad                          256   73   28.5%      $6.24
  Asmussen, Steven                   286   56   19.6%      $8.28
  Amoss, Thomas                      287   55   19.2%      $9.00
  DeVaux, Cherie                     210   44   21.0%     $10.15
  Walsh, Brendan                     239   39   16.3%      $8.14
  David, Jr., Sam                    295   38   12.9%     $10.42
  Rodriguez, Eduardo                 237   35   14.8%     $10.99
  Stidham, Michael                   216   33   15.3%     $12.37
  Stall, Jr., Albert                 221   33   14.9%      $7.50
  Stewart, Dallas                    173   28   16.2%      $7.74
  McPeek, Kenneth                    208   28   13.5%     $11.96
  Bourgeois, Keith                   215   28   13.0%     $12.61
  Claire, Alexis                     124   27   21.8%      $7.50
  Maker, Michael                     134   26   19.4%      $7.68
